ISO_Code,Year,Countries,Economic Freedom Summary Index,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting
a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
IRN,2009,Iran,5.91,117,4,6.830647256,16.77579933,7.989100817,7.88,6,27.6,7,35,7,37,7,6.954937018,4.733871667,3.573791667,5.483385,8.333333333,6.666666667,5.625799005,5.868159459,5.93868,5.324578333,0.517241379,4.345064494,8.584535909,7.077320453,6.830352179,7.924119552,7.299947637,13.50026182,10,8.178708931,7.52,3.72,4.8,26,0,28.08,4.106666667,3.971093333,6.070316453,5.020704893,10,3.028749167,0,0,1.009583056,5.034238654,0,9.175980495,5,4.725326832,7.766666667,4.358551667,4.215903333,8,1.965459195,1,4.55109681,3.176263333,,9.699227083,4.8052075,4.974989833,6.143991695,5.759935889,5.012119844
IRL,2009,Ireland,7.76,12,1,3.603649595,27.74759138,5.257247853,17.90590038,8,18.92,5,41,3,55,4,5.215224362,8.747654492,5.876261004,8.152852603,10,10,4.94889834,7.21094818,8.298028413,7.98446831,1,7.913234594,8.548012201,7.259938997,8.835613098,2.910967255,9.104012466,-4.47993767,10,9.121909441,9.44,0.84,8.94,5.3,6.29,9.275,8.223333333,7.669230214,8.828370673,8.248800444,10,7.812869286,8.461538462,8.739425664,8.33794447,8.702519562,8,8.38953097,10,8.796510323,8.9,4.552727611,4.064536976,10,9.087770598,10,7.767505864,3.436121167,3.952380952,9.579583299,8.260775927,7.683106083,9.148091188,7.010009769,7.858008652
ISR,2009,Israel,7.14,54,2,3.010685756,29.76366843,7.244375941,10.61314029,10,8.2,5,46,3,60,4,6.063765424,8.679891921,5.277956798,6.245873548,4.166666667,8.333333333,3.462740316,5.634953615,4.975856031,7.264943668,0.962962963,5.89349268,6.858989445,15.70505278,9.184744585,2.038138538,9.335,3.325,10,8.844683507,9.688313333,0.46753,8.72,6.4,3.786,15.535,7.398104444,7.485173842,8.617886638,8.05153024,10,6.376708575,9.166666667,7.633169251,7.725514831,8.293787379,5,9.019166591,9,7.67305553,8.9,5.412932259,7.666368921,8,1.965459195,0,5.324126729,3.45235329,5.744680851,8.866268713,8.152244572,6.89798567,7.36580828,6.746556896,6.581246385
ITA,2009,Italy,6.97,65,2,3.985008082,26.45097252,3.592426814,24.01579359,8,17.25,5,43-45,2,59-61,3.5,4.769358724,4.132312273,2.816979415,5.496985615,10,6.666666667,3.183238555,8.01052002,6.316374667,5.759082126,1,5.820239926,8.642505366,6.787473168,9.847373731,0.381565671,9.845046364,0.77476818,10,9.583731365,9.44,0.84,8.94,5.3,6.29,9.275,8.223333333,6.525599872,7.363747532,6.944673702,10,5.322104344,6.923076923,6.416287196,6.220489488,7.847124131,8,7.937875762,9,8.312625254,5.566666667,3.087563541,3.881906014,8,10,10,6.756022704,2.034575033,2.804878049,9.580455359,4.736681924,6.469759513,6.805341957,5.405281972,6.82464331
JAM,2009,Jamaica,7.26,44,2,7.164705882,15.64,9.79092243,1.267314682,10,6.1,9,25,7,33,8,8.738907078,5.755593785,3.905430725,5.445889023,10,3.333333333,2.757563187,6.835393933,3.991220736,1.889834569,0.925925926,4.698645027,8.600890608,6.995546961,6.18018075,9.549548124,8.085242544,9.573787278,10,8.216578476,8.5,2.25,8.5,7.5,5.74,10.65,7.58,6.130333726,7.030128513,6.58023112,10,6.585914748,0,7.854420533,4.813445094,7.243419053,10,6.539342419,9,8.51311414,8.9,5.153720921,6.997699449,10,5.364687997,10,7.736018061,2.836096311,5.268817204,9.689244523,4.721755763,7.90755113,5.359338842,5.963800629,7.404310943
JPN,2009,Japan,7.52,21,1,4.447161751,24.87965005,4.098092643,22.16,8,16.32,5,50,5,50,5,5.386313598,7.830655262,5.873359654,7.636243788,8.333333333,8.333333333,6.372241735,7.92749887,8.028742404,7.015049257,0.965517241,7.354360316,9.455497685,2.722511575,9.910884999,0.222787502,9.729596853,-1.352015733,10,9.773994884,9.606666667,0.59,9.02,4.9,1.768,20.58,6.798222222,5.609437278,8.639285646,7.124361462,10,6.010469661,3.846153846,6.74816412,5.534929209,7.364378223,8,6.648730995,10,8.216243665,8.9,3.287880796,7.926427218,10,10,10,8.352384669,3.798125441,4.615384615,9.184836273,8.33287705,7.831639179,6.020689104,6.630591944,7.733073426
JOR,2009,Jordan,7.23,46,2,5.281433196,22.04312713,7.651226158,9.12,6,29.28,7,35,3,46.39,5,5.983164839,6.023481609,5.280473414,7.326824724,8.333333333,6.666666667,3.376286714,7.137781733,7.832924436,8.249989832,0.482758621,4.961290778,9.154991834,4.225040829,7.88178635,5.295534124,9.864364374,-0.678178129,10,9.22528564,9.006666667,1.49,7.96,10.2,3.6352,15.912,6.867288889,5.679461887,7.866805591,6.773133739,10,6.603516301,6.923076923,10,7.842197741,7.870655092,10,7.206126601,10,9.068708867,8.9,4.20689538,7.511619363,10,10,10,8.436419124,4.131541787,3.908045977,9.056600793,6.224770394,8.353105646,8.867858027,6.756987104,8.087371698
KAZ,2009,Kazakhstan,7.07,60,2,5.558745793,21.1002643,8.779621467,4.978789215,8,19.85,10,10,8,30,9,7.834591815,3.097444249,3.846855657,4.109426461,8.333333333,6.666666667,6.188681811,9.211159377,3.801026244,6.392405599,0.962962963,5.632285943,7.370088699,13.1495565,7.258539122,6.853652196,8.538729102,7.30635449,10,8.291839231,8.153333333,2.77,8.82,5.9,7.0028,7.493,7.992044444,4.835454721,0.816251861,2.825853291,10,4.848385489,1.538461538,0,2.128949009,5.736711686,10,9.541855312,10,9.847285104,10,5.841110997,7.584194873,10,9.59827296,0,7.170596472,3.695491799,7.614035088,9.381181428,4.086216845,7.130417101,6.962272527,6.478269131,7.832050236
KEN,2009,Kenya,6.9,69,2,6.80926705,16.84849203,9.814011011,1.18257959,6,27.17,8,30,8,30,8,7.655819515,2.631398203,3.416014233,4.423274244,6.666666667,3.333333333,4.092266252,7.409861604,3.558581767,3.861162521,0.777777778,3.890623094,7.725007803,11.37496098,8.709495826,3.226260436,8.153174815,9.234125924,10,8.646919611,7.753333333,3.37,7.48,12.6,5.2624,11.844,6.831911111,5.57976634,6.48602546,6.0328959,10,5.754482679,4.615384615,3.540020522,4.636629272,6.875359071,10,7.015638867,9,8.671879622,7.766666667,6.53005548,6.626065942,10,6.026875426,10,7.824943919,3.058320582,5.85978836,8.54113341,2.74634014,8.658646499,5.594734698,5.743160615,7.413328052
KOR,2009,"Korea, South",7.35,36,2,5.067121903,22.77178553,8.222478433,7.023504149,7,21.3,6,39,6,39,6,6.572400084,4.982956252,3.913742231,6.181283963,5,10,8.105416731,8.115681077,6.214438101,6.048139186,0.962962963,6.3863536,9.19475617,4.026219151,9.327317929,1.681705178,9.434822242,2.825888788,10,9.489224085,9.346666667,0.98,7.58,12.1,0,49.247,5.642222222,4.976779458,9.056747674,7.016763566,10,5.229999378,7.692307692,10,7.640769024,7.574938703,8,9.427520128,10,9.142506709,5.566666667,3.655488442,7.459684009,8,1.965459195,0,4.441216385,3.008361976,4.70790378,9.397352907,5.836533258,9.762554907,7.197668383,6.651729202,6.745150766
KWT,2009,Kuwait,7.1,57,2,1.294117647,35.6,7.462125341,9.814,7,,10,0,10,0,10,6.439060747,6.554742979,5.438269761,6.529860523,8.333333333,8.333333333,5.056706724,8.796186319,6.737090495,8.860094508,0.592592593,5.719143154,9.036630039,4.816849804,3.221934636,16.94516341,9.206121897,3.969390514,10,7.866171643,9.526666667,0.71,9.06,4.7,7.932,5.17,8.839555556,6.629639728,7.552832559,7.091236144,10,4.463966925,4.166666667,4.093148729,4.241260773,7.543013118,10,9.345245082,10,9.781748361,10,4.945965355,7.905704278,8,2.969776795,10,7.303574405,2.796200878,5.534591195,8.594633765,5.684138412,8.909537838,8.677299477,6.699400261,7.928241009
KGZ,2009,Kyrgyz Republic,6.91,68,2,6.047818628,19.43741666,9.250924064,3.249108684,8,17.65,10,10,8,30,9,8.074685673,1.77479175,2.780436625,2.9601595,4.9,,6.743088513,9.149467967,2.700393583,5.335227583,0.962962963,4.458817066,7.622228326,11.88885837,7.126543383,7.183641542,8.627543331,6.862283346,10,8.34407876,8.973333333,1.54,9.08,4.6,8.0128,4.968,8.688711111,4.288555,0.50403185,2.396293425,10,3.922665667,3.076923077,6.195035914,4.398208219,6.370803189,10,8.836206822,8,8.945402274,5,5.932529917,7.883314333,10,8.794818879,1,6.435110522,3.455761917,7.350877193,9.640968158,2.828160458,8.3085775,7.735716054,6.553343547,7.311285447
LAO,2009,Laos,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,2009,Latvia,7.28,40,2,4.65,24.19,4.185666052,21.83860559,6,,9,23,4,44,6.5,5.333916513,4.441190099,3.073127416,5.453627421,8.333333333,8.333333333,6.732294994,8.548809551,5.104541346,7.342203381,1,6.373606764,8.770928058,-6.145359708,7.519829633,6.200425917,9.294465308,3.527673459,10,8.89630575,9.44,0.84,8.94,5.3,6.29,9.275,8.223333333,6.922792021,8.639285646,7.781038833,10,6.197668099,6.923076923,6.416287196,6.512344073,8.12917906,10,10,9,9.666666667,3.333333333,5.386765999,7.822888904,8,8.393091839,10,7.156013346,3.435627926,5.260770975,9.419850667,4.703650911,7.850668009,6.715667345,6.231039306,7.684573106
LBN,2009,Lebanon,,,,,,,,10,5.75,,,,,,,,,,,,,,,,0.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,2009,Lesotho,6.03,115,4,3.5,28.1,9.195264126,3.453380658,2,41.1,,,,,,4.898421375,3.727207369,3.069094059,4.438944557,7.3,,3.81515558,5.461487115,4.213455557,4.776287848,0.925925926,4.429826084,8.103311034,9.483444828,8.945925385,2.635186537,8.568157103,7.159214487,5,7.654348381,0,23.76390657,8.46,7.7,5.534,11.165,4.664666667,4.897729429,5.379926387,5.138827908,10,5.451323213,2.307692308,6.305661555,4.688225692,6.122930067,10,8.275570146,9,9.091856715,7.766666667,4.87162683,5.783387621,8,6.291750397,10,7.118905252,3.979857571,4.493670886,8.406880635,3.795616876,2.664097697,6.368178224,4.951383648,7.054048539
LBR,2009,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,2009,Libya,,,,,,,,,,,,,,,,,,,,,,,,,0.804878049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,2009,Lithuania,7.55,18,1,4.658823529,24.16,4.748626389,19.77254115,10,9.8,10,15,5,38,7.5,6.72686248,4.320406322,3.855219622,5.558696411,8.333333333,6.666666667,6.958152875,9.680333298,5.082124439,7.497478346,1,6.439156813,9.424709687,-2.876451566,8.085001359,4.787496603,9.110855452,4.445722738,10,9.155141625,9.44,0.84,8.94,5.3,6.29,9.275,8.223333333,6.105135098,8.701729648,7.403432373,10,5.805569991,3.076923077,6.416287196,5.099593421,7.681589782,10,9.570109142,10,9.856703047,5,3.860974611,8.193850477,8,7.589637758,10,7.107410474,2.805590693,3.549382716,9.147870004,5.671765184,8.152622446,8.038367868,6.227599818,7.730571113
LUX,2009,Luxembourg,7.51,22,1,1.764705882,34,3.390553729,24.75666781,7,21.25,6,39,4,46,5,4.288814903,8.111851264,7.496572165,8.729972329,10,10,7.456058655,6.099067492,8.300936384,8.63611681,1,8.314508344,9.276256873,3.618715635,9.013675427,2.465811434,9.926497104,0.367514482,10,9.554107351,9.44,0.84,8.94,5.3,6.29,9.275,8.223333333,8.469231267,9.286877696,8.878054482,10,8.106716942,3.846153846,6.416287196,6.123052661,8.306110119,8,6.916692917,10,8.305564306,2.233333333,3.74063064,5.560022306,4,7.589637758,10,5.520604006,4.969200764,4.597701149,9.291598255,8.915618964,7.336785687,9.338649738,7.408259093,7.078142468
MKD,2009,Macedonia,6.89,71,3,5.885294118,19.99,5.948228883,15.37,4,31.15,10,10,5,36,7.5,5.83338075,3.238782574,3.418834002,4.416507681,5.7,,5.664960444,7.851968266,5.316586152,6.605057931,0.962962963,5.178872555,7.624919043,11.87540478,9.253001178,1.867497054,9.946550508,-0.26724746,5,7.956117682,9.153333333,1.27,8.46,7.7,6.336,9.16,7.983111111,5.753961098,8.471599626,7.112780362,10,4.571744608,2.307692308,7.633169251,4.837535389,7.483356715,10,9.308364817,10,9.769454939,7.233333333,5.583620681,8.347289176,8,7.991364799,10,7.859267998,3.419840299,5.060240964,9.87768924,5.360113364,5.639956943,8.66609015,6.337321827,7.988681588
MDG,2009,Madagascar,6.25,104,3,8.014705882,12.75,9.346049046,2.9,10,9.58,9,23,5,36,7,8.590188732,2.501190782,3.18715251,3.342645126,1.666666667,4.166666667,2.423722901,5.3800863,2.912035147,3.986651795,0.862068966,3.058636334,8.571400143,7.142999287,8.41678038,3.95804905,8.208651783,8.956741087,5,7.549208076,6.293333333,5.56,7.64,11.8,7.3096,6.726,7.080977778,5.721274763,6.905240509,6.313257636,10,4.179307521,0,0,1.393102507,6.19683448,5,7.997553147,6,6.332517716,2.233333333,5.817642915,6.856392261,8,7.589637758,1,5.249501045,3.344726886,5.348484848,8.826981227,3.380309786,6.830875453,7.74692538,5.913050597,5.831689786
MWI,2009,Malawi,6.22,106,3,6.382352941,18.3,9.482288828,2.4,6,27.19,5,38,5,38,5,6.716160442,6.082843679,4.887437457,5.307898926,6.666666667,5,3.113270643,8.022061404,5.939569085,5.762193648,0.925925926,5.433458762,6.498827148,17.50586426,8.047883866,4.880290336,8.315591145,8.422044277,0,5.715575539,4.6,8.1,7.4,13,6.048,9.88,6.016,4.720902255,3.542392254,4.131647255,10,5.386967363,1.538461538,6.637538479,4.520989127,6.167159095,10,7.355623581,8,8.451874527,5.566666667,5.791340523,8.001378724,10,2.583500795,10,6.990481118,4.421156698,4.561403509,7.61267117,5.207107012,4.164880853,8.240135745,5.701225831,7.047860492
MYS,2009,Malaysia,6.6,85,3,5.285294118,22.03,8.904366183,4.520976107,2,48.27,8,26,8,26,8,6.047415075,5.564221794,5.856206279,6.820977536,8.333333333,6.666666667,4.384891722,8.119864607,6.051626618,5.736613547,0.666666667,5.327259454,8.600429476,6.997852622,7.524032941,6.189917647,9.883338319,0.583308406,0,6.501950184,9.812962267,0.2805566,8.4,8,0,27.216,6.070987422,5.519471285,7.78120956,6.650340422,10,6.098544249,0.769230769,10,5.622591673,7.085979879,10,8.862716319,10,9.62090544,10,5.354483906,7.350109532,10,3.819583996,10,7.754029572,5.06739573,5.0456621,9.271890807,5.655063164,6.647739402,8.374647662,6.677066478,8.01733383
MLI,2009,Mali,6.04,113,4,5.352941176,21.8,10,0,4,38.25,,,,,,6.450980392,3.07955512,4.193015219,4.219702924,5.833333333,5,2.632466106,5.540258389,3.864648822,6.786076429,0.724137931,3.941480492,9.251891471,3.740542647,8.220290614,4.449273466,9.560124935,2.199375325,0,6.758076755,7.426666667,3.86,7.62,11.9,7.2868,6.783,7.444488889,5.050223959,6.048917445,5.549570702,10,3.895674403,0.769230769,2.323138468,2.32934788,6.330851868,8,8.904064386,10,8.968021462,6.666666667,5.183415295,5.922502729,8,7.489205998,0,5.543631781,4.072765238,5.581395349,7.900818531,2.502596309,7.265305081,6.973481854,5.716060394,6.742571212
MLT,2009,Malta,7.64,17,1,4.391176471,25.07,5.7903194,15.9495278,6,,7,35,7,35,7,5.795373968,6.734109333,5.176424083,7.18827675,10,8.333333333,,,7.168800833,8.683997167,1,7.6121345,8.405490484,7.972547578,9.855018894,0.362452764,9.582928534,2.085357332,10,9.460859478,9.44,0.84,8.94,5.3,6.29,9.275,8.223333333,7.454363667,,7.454363667,10,6.576392792,7.692307692,6.416287196,6.894995893,8.143173223,10,8.149915482,10,9.383305161,,4.199400667,6.55024025,10,,10,7.687410229,3.264682167,4.140625,,6.199257319,,,4.534854829,7.20185674
MRT,2009,Mauritania,6.04,113,4,5.529411765,21.2,,,10,12.85,5,40,5,40,5,6.843137255,2.307753952,3.88244529,4.226097345,3.333,3.333,6.266496842,7.364638929,2.88472763,6.50388774,0.655172414,3.687544619,8.210065225,8.949673875,4.068048035,14.82987991,9.555815935,2.220920324,5,6.708482299,,,7.62,11.9,7.1916,7.021,7.4058,5.401354336,4.272074293,4.836714315,10,3.541243634,1,0,1.513747878,5.939065548,,8.078078078,9,8.539039039,4.433333333,5.403331169,7.030875847,8,7.489205998,10,7.059457725,5.554584184,7.788461538,7.687666674,2.695962586,6.80258799,2.198308778,5.454595292,7.017697352
MUS,2009,Mauritius,7.85,10,1,7.064705882,15.98,8.605060062,5.619429574,6,25.64,10,15,9,25,9.5,7.792441486,6.375461282,5.939107186,7.156852282,7.9,,4.54639477,6.02428071,5.442845494,6.487643183,1,6.234073113,8.285965819,8.570170906,9.01565539,2.460861525,9.490037742,2.549811288,10,9.197914738,9.660902093,0.508646861,9.72,1.4,8.0568,4.858,9.145900698,6.608957684,8.262868612,7.435913148,10,7.006623224,4.615384615,8.739425664,6.787144501,8.342239587,10,7.689174854,9,8.896391618,10,4.772521725,5.97279656,8,6.026875426,10,7.462032285,4.608541115,2.592592593,9.767983839,6.167867447,9.115957491,8.195298439,6.741373487,7.699932463
MEX,2009,Mexico,6.6,85,3,7.252941176,15.34,7.922037524,8.126122287,6,26.62,8,28,4,41,6,6.793744675,3.692702923,3.736384095,4.876778223,7.5,3.333333333,5.392658621,6.892157992,2.558421987,2.7980397,1,4.531164097,8.290353254,8.54823373,9.639211708,0.90197073,8.940768978,5.296155111,5,7.967583485,9.373333333,0.94,7.7,11.5,2.916,17.71,6.663111111,6.250696978,8.409155624,7.329926301,10,7.023469635,1.538461538,4.093148729,4.218359967,7.052849345,10,5.744284613,10,8.581428204,6.666666667,3.316722866,6.182625608,8,5.629562968,3,5.465929685,2.796770966,4.654471545,9.5524841,4.260977581,8.995296135,5.471432107,5.955238739,6.667532209
MDA,2009,Moldova,6.66,83,3,6.029411765,19.5,5.63810105,16.50816915,8,16.14,10,18,4,41,7,6.666878204,2.115325,3.351905833,3.855413333,6.666666667,7.5,6.443929855,9.609663699,3.661015,6.784851667,0.925925926,5.348592788,8.014333415,9.928332927,7.965348696,5.086628259,9.98901933,-0.05490335,5,7.74217536,9.093333333,1.36,9.08,4.6,7.7552,5.612,8.642844444,5.607123333,5.296083377,5.451603355,10,4.759331667,0,4.646276935,3.135202867,6.807412667,8,8.807292999,10,8.935764333,4.433333333,4.048876667,7.428265,6,7.342421118,3,5.375482686,3.08234,5.733333333,9.526321874,3.724641944,5.937494332,7.444273565,5.908067508,6.739771509
MNG,2009,Mongolia,7.03,63,2,5.814705882,20.23,6.624839093,12.88684053,7,22.79,10,10,8,29,9,7.109886244,2.643211102,3.038909389,3.936477194,8.333333333,6.666666667,6.238903468,9.068943666,4.396051987,6.320757027,0.925925926,5.418619752,7.017276258,14.91361871,6.15369902,9.61575245,8.744153414,6.279232928,10,7.978782173,8.913333333,1.63,9,5,9.72,0.7,9.211111111,5.818638049,3.372953213,4.595795631,10,5.619266989,6.363636364,0.442502565,4.141801973,6.987177179,,9.899821002,9,9.449910501,8.9,5.957343372,7.965562395,8,9.59827296,3,7.236863121,2.827937644,7,9.396737072,3.192628471,7.294669431,7.847809318,6.259963656,7.648912426
MNE,2009,Montenegro,7.16,49,2,5.617647059,20.9,,,4,31.43,10,14,4,43,7,5.539215686,5.163811692,5.209361312,6.252479675,7.8,,4.795719043,7.573407055,6.192243725,8.286493143,0.962962963,6.290500762,9.729057299,1.354713506,8.735731081,3.160672298,9.306655254,3.466723732,5,8.192860908,7.8,3.3,9.02,4.9,7.55,6.125,8.123333333,6.652933971,8.1165816,7.384757785,10,6.75171627,6.923076923,4.978153859,6.217649017,7.931435034,10,9.392179811,10,9.79739327,10,5.463250915,6.678562996,10,7.589637758,10,8.288575278,4.493493954,2,9.659876196,5.636487267,4.968874199,5.830130554,5.431477028,7.839148526
MAR,2009,Morocco,6.26,103,3,4.71246985,23.97760251,8.627228825,5.538070211,8,19.33,4,44,,,4,6.334924669,4.137931039,4.84352714,5.701284181,6.666666667,8.333333333,4.298549802,7.501050775,5.541427338,6.926438214,0.827586207,5.477703161,8.967708906,5.161455468,9.300302517,1.749243707,9.800878018,0.995609909,0,7.01722236,8.033333333,2.95,6.38,18.1,1.8188,20.453,5.410711111,5.24842281,7.929249593,6.588836202,10,5.346620538,0,7.190666685,4.179095741,6.544660764,5,8.250695604,9,7.416898535,1.1,4.924216811,6.769930872,8,2.917243259,1,4.118565157,3.985364788,5.296296296,9.413111877,4.597621473,7.805658777,5.987061125,6.180852389,5.905438694
MOZ,2009,Mozambique,5.47,130,4,7.727108706,13.7278304,,,0,86.45,7,32,6,38,6.5,4.742369569,3.221883664,4.017785406,3.885893791,6.666666667,5,0,5.951990776,4.528047251,5.029100687,0.962962963,4.176898183,7.623405301,11.88297349,9.162229997,2.094425008,9.349661456,3.251692719,0,6.533824189,,,7.94,10.3,7.0748,7.313,7.5074,4.79569128,6.362890477,5.579290879,10,5.097322472,0,0.885005131,1.994109201,6.27020002,,6.90486452,10,8.45243226,3.333333333,3.835442681,5.203984074,6,0,0,3.062126681,4.023857844,3.005464481,9.437773012,4.348966091,4.040265754,7.421854912,5.379697016,5.631418652
MMR,2009,Myanmar,4.22,141,4,8.52810311,11.00444943,,,4,,5,40,5,40,5,5.842701037,,2.9,,1.666666667,5,,,,,0.926829268,3.072222222,8.26003207,8.699839651,7.047487763,7.381280593,9.705531377,1.472343114,0,6.253262802,0,57.21,8.88,5.6,7.1552,7.112,5.345066667,,,,0,,0,0,0,1.781688889,0,1.620200879,5,2.206733626,,,,10,,0,,,,,,,,,4.146089699
NAM,2009,Namibia,6.88,73,3,3.441176471,28.3,8.965307221,4.297322499,10,12.77,6,37,6,37,6,7.101620923,7.43373033,6.50463635,7.736125768,10,8.333333333,6.25454773,6.40968966,5.901912837,4.979253878,1,7.061469987,8.116827444,9.415862781,8.018983897,4.952540257,8.243517351,8.782413245,0,6.094832173,2.626666667,11.06,8.46,7.7,5.2876,11.781,5.458088889,5.796605691,6.23449643,6.01555106,10,6.149684567,0.769230769,4.535651294,3.818188877,6.322957206,10,9.332050196,10,9.777350065,10,3.204100892,6.604472125,8,8.145875199,10,7.659074703,4.400615058,3.682795699,7.692576279,6.231184725,8.44785466,5.796502575,6.041921499,7.826115422
NPL,2009,Nepal,5.86,121,4,8.201032989,12.11648784,,,7,20.98,,,,,,7.600516494,3.68150867,2.838124786,3.414123817,1.5,,3.371598438,8.327689874,3.108011137,3.347360875,0.777777778,3.287601955,7.771070023,11.14464989,9.052968125,2.367579686,7.678379384,11.60810308,0,6.125604383,6.493333333,5.26,7.52,12.4,5.8336,10.416,6.615644444,5.081839365,4.541496288,4.811667826,10,3.849855919,0,10,4.61661864,6.510982728,2,8.917245395,9,6.639081798,3.333333333,4.086964356,5.645896492,10,2.053750852,10,5.853324172,2.809882056,3.564814815,8.517979408,2.887087484,4.652338396,6.211247654,4.773891635,5.755432535
NLD,2009,Netherlands,7.44,27,1,0.514700176,38.2500194,3.268502269,25.20459667,7,20.48,3,52,3,52,3,3.445800611,8.709235609,7.159997385,8.06672507,10,10,5.108337898,7.86256679,8.306344805,6.785346618,1,7.999839353,8.686609262,6.56695369,9.563268921,1.091827698,9.76154277,1.192286149,10,9.502855238,9.44,0.84,8.94,5.3,6.29,9.275,8.223333333,7.274043711,9.286877696,8.280460703,10,7.3804965,9.166666667,6.416287196,7.654483454,8.539569373,10,9.128912449,10,9.709637483,6.666666667,3.709976741,4.057292165,6,10,10,6.738989262,3.545622339,3.172043011,9.512198976,8.552229675,6.961820365,8.497950253,6.706977437,7.718534727
NZL,2009,New Zealand,8.1,4,1,4.165013758,25.83895322,2.752043597,27.1,7,21.64,5,38,5,40,5,4.729264339,9.59664288,7.539424898,7.878876241,10,9.166666667,7.475715552,9.929330401,8.638036574,7.649533491,1,8.652691856,9.758483857,1.207580715,9.409830797,1.475423009,9.621936989,1.890315053,10,9.697562911,8.713333333,1.93,9.58,2.1,8.9248,2.688,9.072711111,8.801313694,8.76417365,8.782743672,10,7.866060958,7.5,5.86315899,7.076406649,8.732965358,10,9.568244136,10,9.856081379,8.9,4.586948593,7.583519907,10,10,10,8.51174475,4.752491148,4.456521739,9.963781682,9.575468519,9.796083815,7.847809318,7.732026037,8.699950722
NIC,2009,Nicaragua,7.09,58,2,8.647058824,10.6,9.817988307,1.167982914,6,25.97,8,30,4,45,6,7.616261783,1.810158917,2.424720042,3.465177167,5,6.666666667,4.766563799,6.374520725,4.235933583,5.03213875,0.896551724,4.190945174,7.090278331,14.54860834,8.473123009,3.817192478,9.262599679,3.687001605,10,8.706500255,9.5,0.75,8.88,5.6,6.976,7.56,8.452,4.9487335,6.361137455,5.654935478,10,5.848909667,5.384615385,10,7.077841684,7.79619429,10,8.985728453,8,8.995242818,6.666666667,5.399037083,6.5530445,4,7.991364799,10,6.768352175,3.935584417,5.704225352,7.512878746,3.679787569,5.95893685,7.511529524,5.717157076,7.16025069
NER,2009,Niger,5.7,127,4,6.558823529,17.7,9.839237057,1.09,7,21.92,,,,,,7.799353529,,4.4,,5,3.333333333,2.735912589,5.722703078,,,0.76,3.729783024,8.148620736,9.256896322,8.725609021,3.185977446,9.138755981,4.306220096,0,6.503246434,3.819516225,9.270725662,7.62,11.9,7.2868,6.783,6.242105408,,1.221446048,1.221446048,10,,0,0,0,4.365887864,10,9.382309654,10,9.794103218,0,,,6,7.187910718,0,3.29697768,,,6.200169831,,2.339599645,6.973481854,5.171083777,6.087388225
NGA,2009,Nigeria,5.89,119,4,7.485294118,14.55,9.616679929,1.906784661,2,46.82,9,25,5,37,7,6.525493512,4.136705447,4.199177657,3.882589011,3.333333333,3.333333333,5.0761287,3.450262526,3.070684867,4.231683803,0.925925926,3.714244303,5.962430757,20.18784622,5.996629576,10.00842606,7.692465451,11.53767275,5,6.162881446,,,7.76,11.2,6.6848,8.288,7.2224,4.355153337,5.717051448,5.036102393,7.05802969,5.481662188,5,0,3.493887396,5.70260487,10,8.229805993,10,9.409935331,10,6.954045155,7.403774424,10,5.758689517,10,8.352751516,3.441099644,6.62037037,8.178685165,3.236054081,4.128726133,0,4.267489232,7.343392026
