cgdppc,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,808,,,1506,,,,,,,,,,,,,,,,,,1343,,,,,,,,,,,,,,,,,,,,,,,2162,,
1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,,2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,,,,,,,,,,,,,,,,,,,,,,,,,807,,,1477,,,,,,,,,,,,,,,,,,1247,,,,,,,,,,,,,,,,,,,,,,,1630,,
1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,,,,,,,,,,,,,,,,,,,,,,,,,806,,,1437,,,,,,,,,,,,,,,,,,1285,,,,,,,,,,,,,,,,,,,,,,,1942,,
1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,,,,,,,,,,,,,,798,,,1385,,,,,,,,,,,,,,,,,,1228,,,,,,,,,,,,,,,,,,,,,,,2056,,
1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,,,,,,,,,,,,,,,,,,,,,,,,788,,,1453,,,,,,,,,,,,,,,,,,1293,,,,,,,,,,,,,,,,,,,,,,,2360,,
1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418,,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,,,,,,,,,,,,,,,,,,,,,,,,,779,,,1454,,,,,,,,,,,,,,,,,,1261,,,,,,,,,,,,,,,,,,,,,,,2537,,
1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404,,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,,,,,,,,,,,,,,,,,,,,,,,,,769,,,1549,,,,,,,,,,,,,,,,,,1263,,,,,,,,,,,,,,,,,,,,,,,1990,,
1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,,,,,,,,,,,,,,,,,,,,,,,,,771,,,1429,,,,,,,,,,,,,,,,,,1306,,,,,,,,,,,,,,,,,,,,,,,2771,,
1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445,,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,,,,,,,,,,,,,,,,,,,,,,,,,777,,,1509,,,,,,,,,,,,,,,,,,1245,,,,,,,,,,,,,,,,,,,,,,,2576,,
1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418,,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,,,,,,,,,,,,,,,,,,,,,,,,,773,,,1458,,,,,,,,,,,,,,,,,,1361,,,,,,,,,,,,,,,,,,,,,,,2176,,
1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,,,,,,,,,,,,,,,,,,,,,,,,,759,,,1414,,,,,,,,,,,,,,,,,,1349,,,,,,,,,,,,,,,,,,,,,,,2106,,
1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,,,748,,,1384,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,2126,,
1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,,,,,,,,,,,,,,,,,2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,,,,,,,,,,,,,,,,743,,,1409,,,,,,,,,,,,,,,,,,1329,,,,,,,,,,,,,,,,,,,,,,,1811,,
1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036,,,,,,,,,,,,,,,,,,,,,,,,,741,,,1424,,,,,,,,,,,,,,,,,,1249,,,,,,,,,,,,,,,,,,,,,,,1996,,
1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,,,,,,,,,,,,,,,,,,,,,,,,,750,,,1369,,,,,,,,,,,,,,,,,,1257,,,,,,,,,,,,,,,,,,,,,,,,,
1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048,,,,,,,,,,,,,,,,,,,,,,,,,758,,,1322,,,,,,,,,,,,,,,,,,1269,,,,,,,,,,,,,,,,,,,,,,,,,
1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,,,,,,,,,,,,,,,,767,,,1393,,,,,,,,,,,,,,,,,,1339,,,,,,,,,,,,,,,,,,,,,,,,,
1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,771,,,1389,,,,,,,,,,,,,,,,,,1258,,,,,,,,,,,,,,,,,,,,,,,,,
1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,,,,,,,,,,,,,,,,754,,,1344,,,,,,,,,,,,,,,,,,1207,,,,,,,,,,,,,,,,,,,,,,,,,
1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,,,,,,,,,,,,,,,,,,,,,,,744,,,1321,,,,,,,,,,,,,,,,,,1194,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,1594,,,,,,,,,,,,,,,600,,,,,,,,,,,,819,,,,,,,,958,,,,,,,,1947,,,827,,,2205,,,,,,,,,,,,,,,,,,,,,1329,,,856,,,,,,,,,,,,,,,,,,,,985,,,,,,,,,,,,,,,,,,,,,,,,,727,,,1330,,,,,,,,,,,,,,,,,,1151,,,,,,,,,,,,,,,,1643,1980,,514,,,,1997,,
1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210,,,,,,,,,,,,,,,1067,,,,,,1312,,,,,,,,,,,,,,,,,,,,,,,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369,,,,,,,,,,,,,,,,,,1141,,,,,,,,,,,,,,,,,2017,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217,,,,,,,,,,,,,,,,,,,,,1354,,,,,,,,,,,,,,,,,,,,,,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,,,,,,,,,,,,,,1194,,,,,,,,,,,,,,,,,2050,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145,,,,,,,,,,,,,,,,,,,,,1392,,,,,,,,,,,,,,,,,,,,,,,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436,,,,,,,,,,,,,,,,,,1182,,,,,,,,,,,,,,,,,2015,,,,,,,,
1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503,,,,,,,,,,,,,,,,,,1105,,,,,,,,,,,,,,,,,2014,,,,,,1910,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209,,,,,,,,,,,,,,,,,,,,,1405,,,,,,,,,,,,,,,,,,,,,,,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,,,,,,,,,1176,,,,,,,,,,,,,,,,,2056,,,,,,1809,,
1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,,,,,,,,,,,,,,,,,,,,,1439,,,,,,,,,,,,,,,,,,,,,,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334,,,,,,,,,,,,,,,,,,1189,,,,,,,,,,,,,,,,,2094,,,,,,1810,,
1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278,,,,,,,,,,,,,,,,,,,,,1443,,,,,,,,,,,,,,,,,,,,,,,884,,,,,,,,,,,,,,,,1693,,,,,,,,,,,,1364,,,,,,,,,,,,,,,,,,1139,,,,,,,,,,,,,,,,,2114,,,,,,1962,,
1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144,,,,,,,,,,,,,,,,,,,,,1524,,,,,,,,,,,,,,,,,,,,,,,862,,,,,,,,,,,,,,,,1509,,,,,,,,,,,,1323,,,,,,,,,,,,,,,,,,1079,,,,,,,,,,,,,,,,,1965,,,,,,1718,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2182,,,,,,,,,,,,,,,,,,,,,1532,,,,,,,,,,,,,,,,,,,,,,,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333,,,,,,,,,,,,,,,,,,1029,,,,,,,,,,,,,,,,,2062,,,,,,1679,,
1810,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294,,,,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163,,,,,,,,,,,,,,,,,,1112,,,,,,,,,,,,,,,,,2120,,,,,,1856,,
1811,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241,,,,,,,,,,,,,,,1016,,,,,,1367,,,,,,,,,,,,,,,,,,,,,,,788,,,,,,,,,,,,,,,,,,,,,,,,,556,,,1175,,,,,,,,,,,,,,,,,,1195,,,,,,,,,,,,,,,,,2163,,,,,,1472,,
1812,,,,,,,,,,,1851,,,,,,,,,,,,,,,599,624,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,,,1118,,,,,,,,,,,,,,,,,,1118,,,,,,,,,,,,,,,,,2125,,,,,,1491,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196,,,,,,,,,,,,,,,,,,,,,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,,,1211,,,,,,,,,,,,,,,,,,1140,,,,,,,,,,,,,,,,,2149,,,,,,1877,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,2114,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,1255,,,,,,,,,,,,,,,,,,1148,,,,,,,,,,,,,,,,,2190,,,,,,1901,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,2302,,,,,,,,,,,,,,755,,,,,,,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727,,,,,,,,,590,,,1235,,,,,,,,,,,,,,,,,,1189,,,,,,,,,,,,,,,,,2180,,,,,,1580,,
1816,,,,,,,,,,,,,,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144,,,,,,,,,,,,,,820,,,,,,,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,,,,,,,,,593,,,1227,,,,,,,,,,,,,,,,,,1212,,,,,,,,,,,,,,,,,2092,,,,,,1647,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146,,,,,,,,,,,,,,809,,,,,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661,,,,,,,,,600,,,1253,,,,,,,,,,,,,,,,,,1177,,,,,,,,,,,,,,,,,2091,,,,,,1712,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,,,,,,,,,,,,,,792,,,,,,,1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,,,,,,,,,613,,,1353,,,,,,,,,,,,,,,,,,1186,,,,,,,,,,,,,,,,,2097,,,,,,1816,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047,,,,,,,,,,,,,,794,,,,,,,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609,,,,,,,,,637,,,1441,,,,,,,,,,,,,,,,,,1176,,,,,,,,,,,,,,,,,2092,,,,,,1571,,
1820,,,,,1710,,679,1320,,,,,,,,,,,,600,,,,1545,,616,741,,,,,739,,,,1471,,,,,,,1706,,,,917,,,,895,1442,,2181,,,,,,,,,1113,,,,,787,,1179,840,840,,,1473,1119,840,,,,,,477,,,1039,,,,640,,,,,801,,,760,,,,706,,,,,,,1031,,,,,1724,1330,451,,,,,,715,658,,245,1419,,,,,,,764,,,,,,,,,,,1192,,,1039,,,692,,,,624,1212,907,,,,1773,2080,,464,713,,,1552,,
1821,,,,,,,685,,,,,,,,,,,,,,,,,,,602,,,,,,,,,,,,,,,,,1769,,,,,,,,,1556,,2182,,,,,,,,,,,,,,795,968,,,,,,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697,,,,,,,,,671,,,1476,,,,,,,,,,,,,,,,,,1228,,,,,,,,,,,,,,,,,2113,,,,,,1832,,
1822,,,,,,,705,,,,,,,,,,,,,,,,,,,621,,,,,,,,,,,,,,,,,1777,,,,,,,,,1494,,2187,,,,,,,,,,,,,,794,,,,,,,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719,,,,,,,,,684,,,1496,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,2171,,,,,,1709,,
1823,,,,,,,729,,,,,,,,,,,,,,,,,,,597,,,,,,,,,,,,,,,,,1752,,,,,,,,,1541,,2216,,,,,,,,,,,,,,795,,,,,,,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811,,,,,,,,,700,,,1453,,,,,,,,,,,,,,,,,,1221,,,,,,,,,,,,,,,,,2147,,,,,,,,
1824,,,,,,,770,,,,,,,,,,,,,,,,,,,588,,,,,,,,,,,,,,,,,1779,,,,,,,,,1583,,2304,,,,,,,,,,,,,,755,,,,,,,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806,,,,,,,,,714,,,1441,,,,,,,,,,,,,,,,,,1254,,,,,,,,,,,,,,,,,2205,,,,,,,,
1825,,,,,,,807,,,,,,,,,,,,,,,,,,,638,716,,,,,,,,,,,,,,,,1771,,,,,,,,,1513,,2323,,,,,,,,,,,,,,777,,,,,,,1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1768,,,,,,,,,722,,,1402,,,,,,,,,,,,,,,,,,1287,,,,,,,,,,,,,,,,,2254,,,,,,,,
1826,,,,,,,823,,,,,,,,,,,,,,,,,,,662,,,,,,,,,,,,,,,,,1774,,,,,,,,,1553,,2170,,,,,,,,,,,,,,823,,,,,,,1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,726,,,1388,,,,,,,,,,,,,,,,,,1290,,,,,,,,,,,,,,,,,2270,,,,,,1768,,
1827,,,,,,,848,,,,,,,,,,,,,,,,,,,676,,,,,,,,,,,,,,,,,1807,,,,,,,,,1521,,2308,,,,,,,,,,,,,,829,,,,,,,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,,,,,,,,,742,,,1300,,,,,,,,,,,,,,,,,,1230,,,,,,,,,,,,,,,,,2279,,,,,,,,
1828,,,,,,,869,,,,,,,,,,,,,,,,,,,681,,,,,,,,,,,,,,,,,1817,,,,,,,,,1511,,2282,,,,,,,,,,,,,,815,,,,,,,1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,,,,,,,,,759,,,1341,,,,,,,,,,,,,,,,,,1251,,,,,,,,,,,,,,,,,2279,,,,,,,,
1829,,,,,,,917,,,,,,,,,,,,,,,,,,,698,,,,,,,,,,,1147,,,,,,1773,,,,,,,,,1551,,2271,,,,,,,,,,,,,,792,,,,,,,1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,,,,,,,,,767,,,1327,,,,,,,,,,,,,,,,,,1269,,,,,,,,,,,,,,,,,2204,,,,,,1792,,
1830,,,,,,,1113,1515,,,,,,,,,,,,,,,,1708,,691,,,,,,,,,,,,,,,,,1782,,,,,,,,,1513,,2342,,,,,,,,,,,,,,781,,,,,,,1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813,1386,,,,,,,,759,,,1310,,,,,,,,,,,,,,,,,,1238,,,,,,,,,,,,,,,,,2364,,921,,,,,,
1831,,,,,,,1150,,,,,,,,,,,,,,,,,,,695,,,,,,,,,,,,,,,,,1766,,,,,,,,,1534,,2339,,,,,,,,,,,,,,770,976,,,,,,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,1303,,,,,,,,748,,,1266,,,,,,,,,,,,,,,,,,1262,,,,,,,,,,,,,,,,,2509,,909,,,,1625,,
1832,,,,,,,1176,,,,,,,,,,,,,,,,,,,715,,,,,,,,,,,,,,,,,1814,,,,,,,,,1667,,2383,,,,,,,,,,,,,,770,,,,,,,1532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056,1340,,,,,,,,743,,,1261,,,,,,,,,,,,,,,,,,1228,,,,,,,,,,,,,,,,,2600,,1026,,,,,,
1833,,,,,,,1180,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,,,,,,,1790,,,,,,,,,1636,,2374,,,,,,,1323,,,,,,,798,,,,,,,1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,1450,,,,,,,,741,,,1246,,,,,,,,,,,,,,,,,,1267,,,,,,,,,,,,,,,,,2691,,1041,,,,,,
1834,,,,,,,1241,,,,,,,,,,,,,,,,,,,735,,,,,,,,,,,,,,,,,1871,,,,,,,,,1638,,2401,,,,,,,1408,,,,,,,823,,,,,,,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043,1469,,,,,,,,743,,,1239,,,,,,,,,,,,,,,,,,1283,,,,,,,,,,,,,,,,,2562,,1052,,,,,,
1835,,,,,,,1502,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,1844,,,,,,,,,1693,,2547,,,,,,,1840,,,,,,,796,,,,,,,1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,1446,,,,,,,,737,,,1198,,,,,,,,,,,,,,,,,,1278,,,,,,,,,,,,,,,,,2660,,1032,,,,,,
1836,,,,,,,1476,,,,,,,,,,,,,,,,,,,742,,,,,,,,,,,,,,,,,1832,,,,,,,,,1665,,2597,,,,,,,1780,,,,,,,780,,,,,,,1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121,1411,,,,,,,,734,,,1186,,,,,,,,,,,,,,,,,,1320,,,,,,,,,,,,,,,,,2699,,960,,,,,,
1837,,,,,,,1547,,,,,,,,,,,,,,,,,,,769,,,,,,,,,,,,,,,,,1864,,,,,,,,,1689,,2544,,,,,,,1825,,,,,,,819,,,,,,,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179,1408,,,,,,,,743,,,1237,,,,,,,,,,,,,,,,,,1309,,,,,,,,,,,,,,,,,2614,,903,,,,,,
1838,,,,,,,1528,,,,,,,,,,,,,,,,,,,773,,,,,,,,,,,,,,,,,1863,,,,,,,,,1762,,2614,,,,,,,1920,,,,,,,817,,,,,,,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210,1427,,,,,,,,741,,,1281,,,,,,,,,,,,,,,,,,1289,,,,,,,,,,,,,,,,,2591,,811,,,,,,
1839,,,,,,,1425,,,,,,,,,,,,,,,,,,,765,,,,,,,,,,,,,,,,,1869,,,,,,,,,1697,,2560,,,,,,,1739,,,,,,,801,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2218,1438,,,,,,,,735,,,1280,,,,,,,,,,,,,,,,,,1303,,,,,,,,,,,,,,,,,2717,,756,,,,,,
1840,,,,,,,1802,1641,,,,,,,,,,,,,,,,1985,,808,,,,,,,,,,,,,,,,,1913,,,,,,,,,1814,,2651,,,,,,,1664,,,,,,,839,,,,,,,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2248,1546,,,,,,,,730,,,1160,,,,,,,,,,,,,,,,,,1322,,,,,,,,,,,,,,,,,2583,,728,,,,1532,,
1841,,,,,,,1537,,,,,,,,,,,,,,,,,,,808,,,,,,,,,,,,,,,,,1894,,,,,,,,,1850,,2569,,,,,,,1651,,,,,,,833,975,,,,,,1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279,1532,,,,,,,,742,,,1209,,,,,,,,,,,,,,,,,,1305,,,,,,,,,,,,,,,,,2529,,811,,,,,,
1842,,,,,,,1402,,,,,,,,,,,,,,,,,,,815,,,,,,,,,,,,,,,,,1885,,,,,,,,,1801,,2512,,,,,,,1687,,,,,,,834,,,,,,,1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231,1520,,,,,,,,738,,,1206,,,,,,,,,,,,,,,,,,1243,,,,,,,,,,,,,,,,,2507,,903,,,,,,
1843,,,,,,,1625,,,,,,,,,,,,,,,,,,,831,,,,,,,,,,,,,,,,,1977,,,,,,,,,1889,,2605,,,,,,,1423,,,,,,,817,,,,,,,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201,1463,,,,,,,,735,,,1204,,,,,,,,,,,,,,,,,,1271,,,,,,,,,,,,,,,,,2547,,839,,,,1426,,
1844,,,,,,,1847,,,,,,,,,,,,,,,,,,,836,,,,,,,,,,,1162,,,,,,2046,,,,,,,,,1948,,2800,,,,,,,1379,,,,,,,791,,,,,,,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230,1508,,,,,,,,736,,,1279,,,,,,,,,,,,,,,,,,1325,,,,,,,,,,,,,,,,,2685,,839,,,,,,
1845,,,,,,,1901,,,,,,,,,,,,,,,,,,,854,,,,,,,,,,,,,,,,,2078,,,,,,,,,1880,,2894,,,,,,,1328,,,,,,,744,,,,,,,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222,1569,,,,,,,,751,,,1272,,,,,,,,,,,,,,,,,,1356,,,,,,,,,,,,,,,,,2728,,848,,,,,,
1846,,,,,,,2101,,,,2120,,,,,,,,640,,,,,,,875,,,,,,,,,,,,,,,,,2101,,,,,,,,,1878,,2859,,,,,,,1456,,,,,,,720,,,,,,,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2234,1558,,,,,,,,760,,,1259,,,,,,,,,,,,,,,,,,1310,,,,,,,,,,,,,,,,,2743,,857,,,,,,
